18:42:50: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 46] Logger initialized for Command Worker
18:42:50: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 59] Command object created successfully
18:42:50: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (0.0, 0.0, 4.0) m/s
18:42:50: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (0.0, 0.0, 1.0) m/s
18:42:51: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (0.0, 0.0, 0.6666666666666666) m/s
18:42:51: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (0.0, 0.0, 0.5) m/s
18:42:52: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (0.0, 0.0, 0.4) m/s
18:42:52: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (0.0, 0.0, 0.3333333333333333) m/s
18:42:53: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (0.0, 0.0, 0.2857142857142857) m/s
18:42:53: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (0.0, 2.5, 0.25) m/s
18:42:54: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (0.0, 4.444444444444445, 0.2222222222222222) m/s
18:42:54: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (0.0, 6.0, 0.2) m/s
18:42:55: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (1.8181818181818181, 5.454545454545454, 0.18181818181818182) m/s
18:42:55: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (3.3333333333333335, 5.0, 0.16666666666666666) m/s
18:42:56: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (4.615384615384615, 4.615384615384615, 0.15384615384615385) m/s
18:42:56: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (4.285714285714286, 2.857142857142857, 0.14285714285714285) m/s
18:42:57: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (4.0, 1.3333333333333333, 0.13333333333333333) m/s
18:42:57: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (3.75, 0.0, 0.125) m/s
18:42:58: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (2.3529411764705883, 0.0, 0.11764705882352941) m/s
18:42:58: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (1.1111111111111112, 0.0, 0.1111111111111111) m/s
18:42:59: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (0.0, 0.0, 0.10526315789473684) m/s
18:42:59: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (0.0, 1.0, 0.1) m/s
18:43:00: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (0.0, 1.9047619047619047, 0.09523809523809523) m/s
18:43:00: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (0.0, 2.727272727272727, 0.09090909090909091) m/s
18:43:01: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (0.8695652173913043, 2.608695652173913, 0.08695652173913043) m/s
18:43:01: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (1.6666666666666667, 2.5, 0.08333333333333333) m/s
18:43:02: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (2.4, 2.4, 0.08) m/s
18:43:02: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693) m/s
18:43:03: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407) m/s
18:43:03: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (2.142857142857143, 0.0, 0.07142857142857142) m/s
18:43:04: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (1.3793103448275863, 0.0, 0.06896551724137931) m/s
18:43:04: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (0.6666666666666666, 0.0, 0.06666666666666667) m/s
18:43:05: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average velocity vector: (0.0, 0.0, 0.06451612903225806) m/s
